pl_name,hostname,pl_orbper,pl_rade,pl_bmasse,pl_eqt,ra,dec,st_teff,st_rad,st_mass,sy_dist,disc_year,discoverymethod
K00120.01,K00120.01,20.5452375,2.41,,742.0,294.40192,50.172089,5670.0,1.264,,,,
Kepler-46 b,K00872.01,33.60123371,8.46,,495.0,289.26874,42.604172,5149.0,0.93,,,,
Kepler-46 d,K00872.02,6.76652928,1.97,,845.0,289.26874,42.604172,5149.0,0.93,,,,
Kepler-710 b,K00873.01,4.347288783,2.36,,1174.0,291.96417,42.69614,5754.0,1.122,,,,
Kepler-246 b,K00874.01,4.601811819,2.35,,896.0,296.48343,42.663429,4986.0,0.833,,,,
Kepler-246 c,K00874.02,11.18719905,1.55,,667.0,296.48343,42.663429,4986.0,0.833,,,,
Kepler-1729 b,K00875.01,4.220965778,2.62,,595.0,296.69394,42.62611,3837.0,0.517,,,,
K00876.01,K00876.01,6.998099523,588.66,,853.0,287.88412,42.832439,5612.0,0.829,,,,
Kepler-81 b,K00877.01,5.95489993,2.33,,635.0,293.63696,42.82497,4261.0,0.633,,,,
Kepler-81 c,K00877.02,12.03987488,2.18,,502.0,293.63696,42.82497,4261.0,0.633,,,,
Kepler-81 d,K00877.03,20.83762895,1.42,,418.0,293.63696,42.82497,4261.0,0.633,,,,
K00121.01,K00121.01,8.8111022,63.66,,1399.0,294.46088,38.383461,6200.0,2.404,,,,
Kepler-711 b,K00878.01,23.58917143,3.16,,487.0,297.46002,42.83992,4919.0,0.721,,,,
Kepler-109 b,K00123.01,6.481633073,2.54,,1145.0,290.39273,40.28487,5945.0,1.302,,,,
Kepler-716 b,K00892.01,10.37168928,3.2,,720.0,290.39322,43.363899,5121.0,0.888,,,,
Kepler-716 c,K00892.02,3.96996298,1.78,,992.0,290.39322,43.363899,5121.0,0.888,,,,
Kepler-717 b,K00893.01,4.40841331,2.66,,1139.0,292.96555,43.34639,6007.0,0.961,,,,
K00894.01,K00894.01,7.9426176,4.68,,878.0,299.00143,43.399632,5811.0,0.926,,,,
Kepler-712 c,K00881.02,226.8904775,4.53,,236.0,294.90973,42.935261,5067.0,0.75,,,,
K00882.01,K00882.01,1.956811408,21.58,,1109.0,295.83536,42.943062,5209.0,0.603,,,,
K00883.01,K00883.01,2.688899233,12.04,,929.0,296.68307,42.967869,4820.0,0.639,,,,
Kepler-247 c,K00884.01,9.439459486,4.16,,686.0,288.64252,43.039291,5097.0,0.779,,,,
Kepler-95 b,K00122.01,11.523067458,3.13,,927.0,284.48245,44.398041,5644.0,1.411,,,,
Kepler-247 d,K00884.02,20.47748843,2.92,,530.0,288.64252,43.039291,5097.0,0.779,,,,
Kepler-247 b,K00884.03,3.336123113,1.74,,970.0,288.64252,43.039291,5097.0,0.779,,,,
Kepler-54 b,K00886.01,8.01078456,1.72,,453.0,294.77393,43.056301,3713.0,0.47,,,,
Kepler-54 c,K00886.02,12.07134205,1.29,,395.0,294.77393,43.056301,3713.0,0.47,,,,
Kepler-54 d,K00886.03,20.99587872,1.3,,328.0,294.77393,43.056301,3713.0,0.47,,,,
Kepler-713 b,K00887.01,7.41113177,2.45,,905.0,295.65149,43.029831,5849.0,0.919,,,,
K00888.01,K00888.01,1.000747038,4.14,,1620.0,297.97513,43.164909,5472.0,0.79,,,,
Kepler-75 b,K00889.01,8.884922995,10.51,,770.0,291.1376,36.577381,5332.0,0.843,,,,
Kepler-714 b,K00890.01,8.09888906,8.95,,986.0,282.69952,43.272739,6214.0,1.076,,,,
Kepler-715 b,K00891.01,10.00653012,3.52,,876.0,283.63077,43.379398,6063.0,1.001,,,,
Kepler-448 b,K00012.01,17.855221681,13.16,,911.0,297.45374,41.01099,6823.0,1.367,,,,
K00901.01,K00901.01,12.732624065,4.87,,432.0,285.16748,43.876339,3950.0,0.541,,,,
