pl_orbper,pl_rade,pl_eqt,st_teff,st_rad,st_logg,pl_insol
19.3203478,9.38964,534.0,4968.1,0.8,4.5,13.544
11.3246821,4.2917226,707.3693882,5518.0,0.824734,4.59176,59.1706102
6.261169,1.3468319,414.5815396,3145.0,0.211257,5.04431,6.9816945
,3.2287724,661.2039892,5544.0,0.857648,4.5609,45.1713284
1.4015183,1.4616853,891.6389885,3794.0,0.597007,4.67812,149.3747543
8.5874668,5.3744721,895.5943008,5929.0,0.987583,4.48275,152.0429498
6.4474918,48.9878,1443.0,6477.6,1.69,4.13,720.601
1.4136455,,2358.0,5869.0,,,5133.26
3.4040139,5.34279,4701.0,9622.0,1.65,4.39,81123.4
13.7432169,25.7481,1015.0,5941.5,1.4,4.23,176.671
8.47134,16.9325,2137.0,5146.0,4.88,,3465.35
5.5025577,2.7049797,811.847988,4965.0,0.784109,4.56,102.6644008
1.7622537,2.5235818,1186.6066429,4965.0,0.784109,4.56,468.5415425
0.8474218,1.7536544,1678.5549814,5300.0,0.846387,4.56,1876.1315489
4.8420438,1.6177405,938.9141348,5300.0,0.846387,4.56,183.6641995
2.14056,1.83828,1174.0,4567.0,0.84,4.39,316.156
12.71672,2.7546,673.0,5711.1,1.27,4.24,34.1387
4.1269046,17.0952,1715.0,6888.0,1.59,4.23416,1436.49
5.5402372,17.4013,1925.0,6415.0,3.39,3.49,2282.41
5.9294089,,,,,,
5.2958813,13.3622,,5958.7,1.93,,414.975
4.4350025,9.91393,2535.0,9706.0,1.87,4.29,6855.78
1.4412175,17.0442,1626.0,5672.9,1.46,4.13,1160.55
1.6849938,3.76716,1198.0,5923.0,1.11,4.38,342.918
3.9152737,9.43435,1170.0,5714.0,1.58,4.05,311.498
3.1968838,14.9685779,1671.1249287,6470.0,1.59715,4.15,1843.1329908
3.9443668,14.5727196,1461.6208264,5494.0,1.75475,3.93,1078.5986988
3.93034,14.8838,,6292.0,1.37,,815.91
4.5371361,9.8153513,1326.6264827,5731.0,1.48668,4.1,732.0077048
